referenceid,endpoint,resolverid,displaycolor
wikipedia,https://en.wikipedia.org/w/api.php,generic,!random
wiktionary,https://en.wiktionary.org/w/api.php,generic,!random
wikibooks,https://en.wikibooks.org/w/api.php,generic,!random
wikiquote,https://en.wikiquote.org/w/api.php,generic,!random
wikisource,https://en.wikisource.org/w/api.php,generic,!random
wikinews,https://en.wikinews.org/w/api.php,generic,!random
wikiversity,https://en.wikiversity.org/w/api.php,generic,!random
wikivoyage,https://en.wikivoyage.org/w/api.php,generic,!random
wow,https://wow.gamepedia.com/api.php,generic,"!random"
fallout,https://fallout.gamepedia.com/api.php,generic,"!random"
telarapedia,https://telarapedia.gamepedia.com/api.php,generic,"!random"
dota2,https://dota2.gamepedia.com/api.php,generic,"!random"
smite,https://smite.gamepedia.com/api.php,generic,"!random"
guildwiki,https://guildwiki.gamepedia.com/api.php,generic,"!random"
ftb,https://ftb.gamepedia.com/api.php,generic,"!random"
nomanssky,https://nomanssky.gamepedia.com/api.php,generic,"!random"
gamicus,https://gamicus.gamepedia.com/api.php,generic,"!random"
swtor,https://swtor.gamepedia.com/api.php,generic,"!random"
zelda,https://zelda.gamepedia.com/api.php,generic,"!random"
thealchemistcode,https://thealchemistcode.gamepedia.com/api.php,generic,"!random"
gothic-pl,https://gothic-pl.gamepedia.com/api.php,generic,"!random"
neverwinter,https://neverwinter.gamepedia.com/api.php,generic,"!random"
sto,https://sto.gamepedia.com/api.php,generic,"!random"
pathofexile,https://pathofexile.gamepedia.com/api.php,generic,"!random"
pokemon,https://pokemon.gamepedia.com/api.php,generic,"!random"
paladins,https://paladins.gamepedia.com/api.php,generic,"!random"
minecraft,https://minecraft.gamepedia.com/api.php,generic,"!random"
feheroes,https://feheroes.gamepedia.com/api.php,generic,"!random"
gwpvx,https://gwpvx.gamepedia.com/api.php,generic,"!random"
diablo,https://diablo.gamepedia.com/api.php,generic,"!random"
vindictus,https://vindictus.gamepedia.com/api.php,generic,"!random"
runesofmagic,https://runesofmagic.gamepedia.com/api.php,generic,"!random"
cod-esports,https://cod-esports.gamepedia.com/api.php,generic,"!random"
heroesofthestorm,https://heroesofthestorm.gamepedia.com/api.php,generic,"!random"
hearthstone,https://hearthstone.gamepedia.com/api.php,generic,"!random"
fortnite-esports,https://fortnite-esports.gamepedia.com/api.php,generic,"!random"
ark,https://ark.gamepedia.com/api.php,generic,"!random"
witcher,https://witcher.gamepedia.com/api.php,generic,"!random"
