referenceid,endpoint,resolverid,displaycolor
wow,https://wow.gamepedia.com/api.php,generic,"!random"
fallout,https://fallout.gamepedia.com/api.php,generic,"!random"
telarapedia,https://telarapedia.gamepedia.com/api.php,generic,"!random"
dota2,https://dota2.gamepedia.com/api.php,generic,"!random"
smite,https://smite.gamepedia.com/api.php,generic,"!random"
guildwiki,https://guildwiki.gamepedia.com/api.php,generic,"!random"
ftb,https://ftb.gamepedia.com/api.php,generic,"!random"
nomanssky,https://nomanssky.gamepedia.com/api.php,generic,"!random"
gamicus,https://gamicus.gamepedia.com/api.php,generic,"!random"
swtor,https://swtor.gamepedia.com/api.php,generic,"!random"
zelda,https://zelda.gamepedia.com/api.php,generic,"!random"
thealchemistcode,https://thealchemistcode.gamepedia.com/api.php,generic,"!random"
gothic-pl,https://gothic-pl.gamepedia.com/api.php,generic,"!random"
neverwinter,https://neverwinter.gamepedia.com/api.php,generic,"!random"
sto,https://sto.gamepedia.com/api.php,generic,"!random"
pathofexile,https://pathofexile.gamepedia.com/api.php,generic,"!random"
pokemon,https://pokemon.gamepedia.com/api.php,generic,"!random"
paladins,https://paladins.gamepedia.com/api.php,generic,"!random"
minecraft,https://minecraft.gamepedia.com/api.php,generic,"!random"
feheroes,https://feheroes.gamepedia.com/api.php,generic,"!random"
gwpvx,https://gwpvx.gamepedia.com/api.php,generic,"!random"
diablo,https://diablo.gamepedia.com/api.php,generic,"!random"
vindictus,https://vindictus.gamepedia.com/api.php,generic,"!random"
runesofmagic,https://runesofmagic.gamepedia.com/api.php,generic,"!random"
cod-esports,https://cod-esports.gamepedia.com/api.php,generic,"!random"
heroesofthestorm,https://heroesofthestorm.gamepedia.com/api.php,generic,"!random"
hearthstone,https://hearthstone.gamepedia.com/api.php,generic,"!random"
fortnite-esports,https://fortnite-esports.gamepedia.com/api.php,generic,"!random"
ark,https://ark.gamepedia.com/api.php,generic,"!random"
witcher,https://witcher.gamepedia.com/api.php,generic,"!random"
cnc,https://cnc.gamepedia.com/api.php,generic,"!random"
archeage,https://archeage.gamepedia.com/api.php,generic,"!random"
maplestory2,https://maplestory2.gamepedia.com/api.php,generic,"!random"
terraria,https://terraria.gamepedia.com/api.php,generic,"!random"
exvius,https://exvius.gamepedia.com/api.php,generic,"!random"
destiny2,https://destiny2.gamepedia.com/api.php,generic,"!random"
legacyofkain,https://legacyofkain.gamepedia.com/api.php,generic,"!random"
pillarsofeternity,https://pillarsofeternity.gamepedia.com/api.php,generic,"!random"
skyrim,https://skyrim.gamepedia.com/api.php,generic,"!random"
ragnarok,https://ragnarok.gamepedia.com/api.php,generic,"!random"
totalwarwarhammer,https://totalwarwarhammer.gamepedia.com/api.php,generic,"!random"
overwatch,https://overwatch.gamepedia.com/api.php,generic,"!random"
fortnite,https://fortnite.gamepedia.com/api.php,generic,"!random"
vegaconflict,https://vegaconflict.gamepedia.com/api.php,generic,"!random"
bladeandsoul,https://bladeandsoul.gamepedia.com/api.php,generic,"!random"
mtg,https://mtg.gamepedia.com/api.php,generic,"!random"
villagersandheroes,https://villagersandheroes.gamepedia.com/api.php,generic,"!random"
ffxiv,https://ffxiv.gamepedia.com/api.php,generic,"!random"
100orangejuice,https://100orangejuice.gamepedia.com/api.php,generic,"!random"
awesomenauts,https://awesomenauts.gamepedia.com/api.php,generic,"!random"
terrariamods,https://terrariamods.gamepedia.com/api.php,generic,"!random"
masseffectandromeda,https://masseffectandromeda.gamepedia.com/api.php,generic,"!random"
dontstarve,https://dontstarve.gamepedia.com/api.php,generic,"!random"
gigantic,https://gigantic.gamepedia.com/api.php,generic,"!random"
smite-esports,https://smite-esports.gamepedia.com/api.php,generic,"!random"
wardragons,https://wardragons.gamepedia.com/api.php,generic,"!random"
conanexiles,https://conanexiles.gamepedia.com/api.php,generic,"!random"
animalcrossingpocketcamp,https://animalcrossingpocketcamp.gamepedia.com/api.php,generic,"!random"
dragalialost,https://dragalialost.gamepedia.com/api.php,generic,"!random"
steeldivision,https://steeldivision.gamepedia.com/api.php,generic,"!random"
mobius,https://mobius.gamepedia.com/api.php,generic,"!random"
pwi,https://pwi.gamepedia.com/api.php,generic,"!random"
bravefrontier2,https://bravefrontier2.gamepedia.com/api.php,generic,"!random"
wildstar,https://wildstar.gamepedia.com/api.php,generic,"!random"
